
2023/08/24 (02:46:16) | ===> btop++ v.1.2.13
2023/08/24 (02:46:16) | INFO: Logger set to INFO

2024/06/06 (01:03:30) | ===> btop++ v.1.3.2
2024/06/06 (01:03:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/06/06 (01:03:30) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2025/02/14 (00:50:14) | ===> btop++ v.1.4.0
2025/02/14 (00:50:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/14 (01:15:10) | ===> btop++ v.1.4.0
2025/02/14 (01:15:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/17 (16:49:48) | ===> btop++ v.1.4.0
2025/02/17 (16:49:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/06 (04:23:10) | ===> btop++ v.1.4.0
2025/08/06 (04:23:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/06 (04:46:49) | ===> btop++ v.1.4.0
2025/08/06 (04:46:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
